region,category,parameter,mode,powertrain,year,unit,value
Australia,Historical,EV stock,Cars,PHEV,2020,stock,10000
Australia,Historical,EV stock,Cars,PHEV,2021,stock,14000
Australia,Historical,EV sales,Cars,BEV,2021,sales,17000
Australia,Historical,EV sales,Cars,PHEV,2021,sales,3400
Australia,Historical,EV stock,Cars,BEV,2021,stock,34000
Australia,Historical,EV charging points,EV,Publicly available fast,2021,charging points,350
Australia,Historical,EV sales share,Cars,EV,2021,percent,2.799999952316284
Australia,Historical,EV stock share,Cars,EV,2021,percent,0.38999998569488525
Australia,Historical,EV charging points,EV,Publicly available slow,2021,charging points,2000
Belgium,Historical,EV stock share,Buses,EV,2010,percent,0.012000000104308128
Belgium,Historical,EV stock share,Trucks,EV,2010,percent,0.0013000000035390258
Belgium,Historical,EV stock,Cars,BEV,2010,stock,61
Belgium,Historical,EV stock,Cars,PHEV,2010,stock,9
Belgium,Historical,EV sales share,Vans,EV,2010,percent,0.014999999664723873
Belgium,Historical,EV stock share,Vans,EV,2010,percent,0.009999999776482582
Belgium,Historical,EV stock share,Cars,EV,2010,percent,0.0013000000035390258
Belgium,Historical,EV sales share,Cars,EV,2010,percent,0.006399999838322401
Belgium,Historical,EV stock,Buses,BEV,2010,stock,3
Belgium,Historical,EV stock,Trucks,BEV,2010,stock,2
Belgium,Historical,EV sales,Vans,BEV,2010,sales,7
Belgium,Historical,EV stock,Vans,BEV,2010,stock,62
Belgium,Historical,EV sales,Cars,BEV,2010,sales,35
Belgium,Historical,EV sales,Cars,BEV,2011,sales,280
Belgium,Historical,EV stock,Vans,BEV,2011,stock,79
Belgium,Historical,EV sales,Vans,BEV,2011,sales,25
Belgium,Historical,EV stock,Trucks,BEV,2011,stock,6
Belgium,Historical,EV sales,Trucks,BEV,2011,sales,1
Belgium,Historical,EV stock,Buses,BEV,2011,stock,3
Belgium,Historical,EV sales share,Cars,EV,2011,percent,0.052000001072883606
Belgium,Historical,EV stock share,Cars,EV,2011,percent,0.006399999838322401
Belgium,Historical,EV stock share,Vans,EV,2011,percent,0.013000000268220901
Belgium,Historical,EV sales share,Vans,EV,2011,percent,0.04399999976158142
Belgium,Historical,EV stock,Cars,PHEV,2011,stock,26
Belgium,Historical,EV stock,Cars,BEV,2011,stock,320
Belgium,Historical,EV sales,Cars,PHEV,2011,sales,16
Belgium,Historical,EV stock share,Trucks,EV,2011,percent,0.004000000189989805
Belgium,Historical,EV stock share,Buses,EV,2011,percent,0.012000000104308128
Belgium,Historical,EV sales share,Trucks,EV,2011,percent,0.010999999940395355
Belgium,Historical,EV stock share,Buses,EV,2012,percent,0.012000000104308128
Belgium,Historical,EV stock share,Trucks,EV,2012,percent,0.004699999932199717
Belgium,Historical,EV sales,Cars,PHEV,2012,sales,260
Belgium,Historical,EV stock,Cars,BEV,2012,stock,830
Belgium,Historical,EV stock,Cars,PHEV,2012,stock,350
Belgium,Historical,EV sales share,Vans,EV,2012,percent,0.5299999713897705
Belgium,Historical,EV stock share,Vans,EV,2012,percent,0.05299999937415123
Belgium,Historical,EV stock share,Cars,EV,2012,percent,0.02199999988079071
Belgium,Historical,EV sales share,Cars,EV,2012,percent,0.25999999046325684
Belgium,Historical,EV stock,Buses,BEV,2012,stock,3
Belgium,Historical,EV stock,Trucks,BEV,2012,stock,7
Belgium,Historical,EV sales,Vans,BEV,2012,sales,260
Belgium,Historical,EV stock,Vans,BEV,2012,stock,330
Belgium,Historical,EV sales,Cars,BEV,2012,sales,1000
Belgium,Historical,EV sales,Cars,BEV,2013,sales,610
Belgium,Historical,EV stock,Vans,BEV,2013,stock,430
Belgium,Historical,EV sales,Vans,BEV,2013,sales,110
Belgium,Historical,EV stock,Trucks,BEV,2013,stock,7
Belgium,Historical,EV stock,Buses,BEV,2013,stock,3
Belgium,Historical,EV sales share,Cars,EV,2013,percent,0.14000000059604645
Belgium,Historical,EV stock share,Cars,EV,2013,percent,0.032999999821186066
Belgium,Historical,EV stock share,Vans,EV,2013,percent,0.06700000166893005
Belgium,Historical,EV sales share,Vans,EV,2013,percent,0.2199999988079071
Belgium,Historical,EV stock,Cars,PHEV,2013,stock,590
Belgium,Historical,EV stock,Cars,BEV,2013,stock,1200
Belgium,Historical,EV sales,Cars,PHEV,2013,sales,60
Belgium,Historical,EV stock share,Trucks,EV,2013,percent,0.004800000227987766
Belgium,Historical,EV stock share,Buses,EV,2013,percent,0.012000000104308128
Belgium,Historical,EV charging points,EV,Publicly available fast,2013,charging points,47
Belgium,Historical,EV charging points,EV,Publicly available slow,2013,charging points,330
Belgium,Historical,EV charging points,EV,Publicly available fast,2014,charging points,55
Belgium,Historical,EV charging points,EV,Publicly available slow,2014,charging points,560
Belgium,Historical,EV stock share,Buses,EV,2014,percent,0.1599999964237213
Belgium,Historical,EV stock share,Trucks,EV,2014,percent,0.007499999832361937
Belgium,Historical,EV sales share,Buses,EV,2014,percent,0.25999999046325684
Belgium,Historical,EV sales,Cars,PHEV,2014,sales,650
Belgium,Historical,EV stock,Cars,BEV,2014,stock,2200
Belgium,Historical,EV stock,Cars,PHEV,2014,stock,1500
Belgium,Historical,EV sales share,Trucks,EV,2014,percent,0.012000000104308128
Belgium,Historical,EV sales share,Vans,EV,2014,percent,0.20000000298023224
Belgium,Historical,EV stock share,Vans,EV,2014,percent,0.07900000363588333
Belgium,Historical,EV stock share,Cars,EV,2014,percent,0.06700000166893005
Belgium,Historical,EV sales share,Cars,EV,2014,percent,0.4300000071525574
Belgium,Historical,EV stock,Buses,BEV,2014,stock,7
Belgium,Historical,EV sales,Buses,BEV,2014,sales,3
Belgium,Historical,EV stock,Trucks,BEV,2014,stock,11
Belgium,Historical,EV sales,Vans,BEV,2014,sales,99
Belgium,Historical,EV stock,Vans,BEV,2014,stock,520
Belgium,Historical,EV sales,Cars,BEV,2014,sales,1400
Belgium,Historical,EV sales,Trucks,BEV,2014,sales,1
Belgium,Historical,EV stock,Buses,PHEV,2014,stock,32
Belgium,Historical,EV stock,Buses,PHEV,2015,stock,80
Belgium,Historical,EV sales,Cars,BEV,2015,sales,1700
Belgium,Historical,EV stock,Vans,BEV,2015,stock,570
Belgium,Historical,EV sales,Vans,BEV,2015,sales,68
Belgium,Historical,EV stock,Trucks,BEV,2015,stock,12
Belgium,Historical,EV stock,Buses,BEV,2015,stock,7
Belgium,Historical,EV sales share,Cars,EV,2015,percent,0.7699999809265137
Belgium,Historical,EV stock share,Cars,EV,2015,percent,0.12999999523162842
Belgium,Historical,EV stock share,Vans,EV,2015,percent,0.08399999886751175
Belgium,Historical,EV sales share,Vans,EV,2015,percent,0.11999999731779099
Belgium,Historical,EV stock,Cars,PHEV,2015,stock,3800
Belgium,Historical,EV stock,Cars,BEV,2015,stock,3300
Belgium,Historical,EV sales,Cars,PHEV,2015,sales,2200
Belgium,Historical,EV stock share,Trucks,EV,2015,percent,0.008200000040233135
Belgium,Historical,EV stock share,Buses,EV,2015,percent,0.3700000047683716
Belgium,Historical,EV charging points,EV,Publicly available fast,2015,charging points,77
Belgium,Historical,EV charging points,EV,Publicly available slow,2015,charging points,1300
Belgium,Historical,EV charging points,EV,Publicly available fast,2016,charging points,110
Belgium,Historical,EV charging points,EV,Publicly available slow,2016,charging points,1500
Belgium,Historical,EV stock share,Buses,EV,2016,percent,0.5400000214576721
Belgium,Historical,EV stock share,Trucks,EV,2016,percent,0.008999999612569809
Belgium,Historical,EV sales,Cars,PHEV,2016,sales,7100
Belgium,Historical,EV stock,Cars,BEV,2016,stock,5200
Belgium,Historical,EV stock,Cars,PHEV,2016,stock,11000
Belgium,Historical,EV sales share,Trucks,EV,2016,percent,0.009999999776482582
Belgium,Historical,EV sales share,Vans,EV,2016,percent,0.2199999988079071
Belgium,Historical,EV stock share,Vans,EV,2016,percent,0.09700000286102295
Belgium,Historical,EV stock share,Cars,EV,2016,percent,0.2800000011920929
Belgium,Historical,EV sales share,Cars,EV,2016,percent,1.7000000476837158
Belgium,Historical,EV stock,Buses,BEV,2016,stock,7
Belgium,Historical,EV stock,Trucks,BEV,2016,stock,13
Belgium,Historical,EV sales,Vans,BEV,2016,sales,140
Belgium,Historical,EV stock,Vans,BEV,2016,stock,690
Belgium,Historical,EV stock,Vans,PHEV,2016,stock,1
Belgium,Historical,EV sales,Cars,BEV,2016,sales,2300
Belgium,Historical,EV stock,Buses,PHEV,2016,stock,110
Belgium,Historical,EV sales,Trucks,BEV,2016,sales,1
Belgium,Historical,EV sales,Buses,PHEV,2017,sales,2
Belgium,Historical,EV stock,Buses,PHEV,2017,stock,130
Belgium,Historical,EV stock,Buses,BEV,2017,stock,10
Belgium,Historical,EV sales,Cars,BEV,2017,sales,3000
Belgium,Historical,EV stock,Vans,PHEV,2017,stock,4
Belgium,Historical,EV sales,Vans,PHEV,2017,sales,1
Belgium,Historical,EV stock,Vans,BEV,2017,stock,780
Belgium,Historical,EV sales,Vans,BEV,2017,sales,130
Belgium,Historical,EV stock,Trucks,BEV,2017,stock,14
Belgium,Historical,EV sales share,Cars,EV,2017,percent,2.700000047683716
Belgium,Historical,EV stock share,Cars,EV,2017,percent,0.5299999713897705
Belgium,Historical,EV stock share,Vans,EV,2017,percent,0.10999999940395355
Belgium,Historical,EV sales share,Vans,EV,2017,percent,0.17000000178813934
Belgium,Historical,EV stock,Cars,PHEV,2017,stock,23000
Belgium,Historical,EV stock,Cars,BEV,2017,stock,7500
Belgium,Historical,EV sales,Cars,PHEV,2017,sales,12000
Belgium,Historical,EV stock share,Trucks,EV,2017,percent,0.009700000286102295
Belgium,Historical,EV stock share,Buses,EV,2017,percent,0.7300000190734863
Belgium,Historical,EV sales share,Buses,EV,2017,percent,0.23000000417232513
Belgium,Historical,EV charging points,EV,Publicly available fast,2017,charging points,220
Belgium,Historical,EV charging points,EV,Publicly available slow,2017,charging points,1500
Belgium,Historical,EV charging points,EV,Publicly available fast,2018,charging points,240
Belgium,Historical,EV charging points,EV,Publicly available slow,2018,charging points,2700
Belgium,Historical,EV sales share,Buses,EV,2018,percent,1.2999999523162842
Belgium,Historical,EV stock share,Buses,EV,2018,percent,0.9399999976158142
Belgium,Historical,EV stock share,Trucks,EV,2018,percent,0.012000000104308128
Belgium,Historical,EV sales,Cars,PHEV,2018,sales,9400
Belgium,Historical,EV stock,Cars,BEV,2018,stock,11000
Belgium,Historical,EV stock,Cars,PHEV,2018,stock,33000
Belgium,Historical,EV sales share,Trucks,EV,2018,percent,0.008899999782443047
Belgium,Historical,EV sales share,Vans,EV,2018,percent,0.3400000035762787
Belgium,Historical,EV stock share,Vans,EV,2018,percent,0.12999999523162842
Belgium,Historical,EV stock share,Cars,EV,2018,percent,0.75
Belgium,Historical,EV sales share,Cars,EV,2018,percent,2.5
Belgium,Historical,EV stock,Trucks,BEV,2018,stock,17
Belgium,Historical,EV sales,Vans,BEV,2018,sales,260
Belgium,Historical,EV stock,Vans,BEV,2018,stock,1000
Belgium,Historical,EV sales,Vans,PHEV,2018,sales,2
Belgium,Historical,EV stock,Vans,PHEV,2018,stock,7
Belgium,Historical,EV sales,Cars,BEV,2018,sales,4200
Belgium,Historical,EV stock,Buses,BEV,2018,stock,21
Belgium,Historical,EV stock,Buses,PHEV,2018,stock,140
Belgium,Historical,EV sales,Trucks,BEV,2018,sales,1
Belgium,Historical,EV sales,Buses,BEV,2018,sales,14
Belgium,Historical,EV sales,Buses,BEV,2019,sales,37
Belgium,Historical,EV sales,Buses,PHEV,2019,sales,11
Belgium,Historical,EV stock,Buses,PHEV,2019,stock,160
Belgium,Historical,EV stock,Buses,BEV,2019,stock,59
Belgium,Historical,EV sales,Cars,BEV,2019,sales,8900
Belgium,Historical,EV stock,Vans,PHEV,2019,stock,13
Belgium,Historical,EV stock,Vans,BEV,2019,stock,1400
Belgium,Historical,EV sales,Vans,BEV,2019,sales,420
Belgium,Historical,EV stock,Trucks,BEV,2019,stock,17
Belgium,Historical,EV sales share,Cars,EV,2019,percent,3.200000047683716
Belgium,Historical,EV stock share,Cars,EV,2019,percent,1
Belgium,Historical,EV stock share,Vans,EV,2019,percent,0.17000000178813934
Belgium,Historical,EV sales share,Vans,EV,2019,percent,0.5099999904632568
Belgium,Historical,EV stock,Cars,PHEV,2019,stock,41000
Belgium,Historical,EV stock,Cars,BEV,2019,stock,19000
Belgium,Historical,EV sales,Cars,PHEV,2019,sales,8800
Belgium,Historical,EV stock share,Trucks,EV,2019,percent,0.012000000104308128
Belgium,Historical,EV stock share,Buses,EV,2019,percent,1.2000000476837158
Belgium,Historical,EV sales share,Buses,EV,2019,percent,3.700000047683716
Belgium,Historical,EV charging points,EV,Publicly available fast,2019,charging points,360
Belgium,Historical,EV charging points,EV,Publicly available slow,2019,charging points,6100
Belgium,Historical,EV charging points,EV,Publicly available fast,2020,charging points,480
Belgium,Historical,EV charging points,EV,Publicly available slow,2020,charging points,8000
Belgium,Historical,EV sales share,Buses,EV,2020,percent,1.600000023841858
Belgium,Historical,EV stock share,Buses,EV,2020,percent,1.2999999523162842
Belgium,Historical,EV stock share,Trucks,EV,2020,percent,0.012000000104308128
Belgium,Historical,EV sales,Cars,PHEV,2020,sales,33000
Belgium,Historical,EV stock,Cars,BEV,2020,stock,32000
Belgium,Historical,EV stock,Cars,PHEV,2020,stock,73000
Belgium,Historical,EV sales share,Trucks,EV,2020,percent,0.03999999910593033
Belgium,Historical,EV sales share,Vans,EV,2020,percent,0.6700000166893005
Belgium,Historical,EV stock share,Vans,EV,2020,percent,0.2199999988079071
Belgium,Historical,EV stock share,Cars,EV,2020,percent,1.7999999523162842
Belgium,Historical,EV sales share,Cars,EV,2020,percent,11
Belgium,Historical,EV stock,Trucks,BEV,2020,stock,19
Belgium,Historical,EV sales,Vans,BEV,2020,sales,450
Belgium,Historical,EV stock,Vans,BEV,2020,stock,1800
Belgium,Historical,EV stock,Vans,PHEV,2020,stock,50
Belgium,Historical,EV sales,Vans,PHEV,2020,sales,26
Belgium,Historical,EV sales,Cars,BEV,2020,sales,15000
Belgium,Historical,EV stock,Buses,BEV,2020,stock,75
Belgium,Historical,EV stock,Buses,PHEV,2020,stock,160
Belgium,Historical,EV sales,Buses,PHEV,2020,sales,1
Belgium,Historical,EV sales,Trucks,BEV,2020,sales,3
Belgium,Historical,EV sales,Buses,BEV,2020,sales,12
Belgium,Historical,EV sales,Buses,BEV,2021,sales,28
Belgium,Historical,EV sales,Trucks,BEV,2021,sales,3
Belgium,Historical,EV stock,Buses,PHEV,2021,stock,160
Belgium,Historical,EV stock,Buses,BEV,2021,stock,100
Belgium,Historical,EV sales,Vans,PHEV,2021,sales,25
Belgium,Historical,EV stock,Vans,PHEV,2021,stock,110
Belgium,Historical,EV stock,Vans,BEV,2021,stock,2400
Belgium,Historical,EV sales,Vans,BEV,2021,sales,750
Belgium,Historical,EV stock,Trucks,BEV,2021,stock,21
Belgium,Historical,EV sales share,Cars,EV,2021,percent,18
Belgium,Historical,EV stock share,Cars,EV,2021,percent,2.9000000953674316
Belgium,Historical,EV stock share,Vans,EV,2021,percent,0.3100000023841858
Belgium,Historical,EV sales share,Vans,EV,2021,percent,1.100000023841858
Belgium,Historical,EV sales share,Trucks,EV,2021,percent,0.035999998450279236
Belgium,Historical,EV stock,Cars,PHEV,2021,stock,120000
Belgium,Historical,EV stock,Cars,BEV,2021,stock,52000
Belgium,Historical,EV sales,Cars,PHEV,2021,sales,48000
Belgium,Historical,EV stock share,Trucks,EV,2021,percent,0.013000000268220901
Belgium,Historical,EV stock share,Buses,EV,2021,percent,1.5
Belgium,Historical,EV sales share,Buses,EV,2021,percent,3
Belgium,Historical,EV sales,Cars,BEV,2021,sales,22000
Belgium,Historical,EV charging points,EV,Publicly available fast,2021,charging points,790
Belgium,Historical,EV charging points,EV,Publicly available slow,2021,charging points,12000
Brazil,Historical,EV sales,Cars,BEV,2012,sales,74
Brazil,Historical,EV sales,Cars,PHEV,2012,sales,18
Brazil,Historical,EV sales share,Cars,EV,2012,percent,0.003000000026077032
Brazil,Historical,EV sales share,Cars,EV,2013,percent,0.005499999970197678
Brazil,Historical,EV sales,Cars,PHEV,2013,sales,33
Brazil,Historical,EV sales,Cars,BEV,2013,sales,130
Brazil,Historical,EV sales,Cars,BEV,2014,sales,61
Brazil,Historical,EV stock,Cars,BEV,2014,stock,61
Brazil,Historical,EV sales share,Cars,EV,2014,percent,0.002199999988079071
Brazil,Historical,EV stock share,Cars,EV,2014,percent,0.00018000000272877514
Brazil,Historical,EV stock share,Cars,EV,2015,percent,0.0004199999966658652
Brazil,Historical,EV sales share,Cars,EV,2015,percent,0.004100000020116568
Brazil,Historical,EV stock,Cars,BEV,2015,stock,120
Brazil,Historical,EV sales,Cars,PHEV,2015,sales,28
Brazil,Historical,EV sales,Cars,BEV,2015,sales,59
Brazil,Historical,EV stock,Cars,PHEV,2015,stock,28
Brazil,Historical,EV stock,Cars,PHEV,2016,stock,75
Brazil,Historical,EV sales,Cars,BEV,2016,sales,130
Brazil,Historical,EV sales,Cars,PHEV,2016,sales,47
Brazil,Historical,EV stock,Cars,BEV,2016,stock,250
Brazil,Historical,EV sales share,Cars,EV,2016,percent,0.009999999776482582
Brazil,Historical,EV stock share,Cars,EV,2016,percent,0.0008999999845400453
Brazil,Historical,EV stock share,Cars,EV,2017,percent,0.0019000000320374966
Brazil,Historical,EV sales share,Cars,EV,2017,percent,0.017000000923871994
Brazil,Historical,EV stock,Cars,BEV,2017,stock,320
Brazil,Historical,EV sales,Cars,PHEV,2017,sales,290
Brazil,Historical,EV sales,Cars,BEV,2017,sales,28
Brazil,Historical,EV stock,Cars,PHEV,2017,stock,360
Brazil,Historical,EV stock,Cars,PHEV,2018,stock,700
Brazil,Historical,EV sales,Cars,BEV,2018,sales,71
Brazil,Historical,EV sales,Cars,PHEV,2018,sales,230
Brazil,Historical,EV stock,Cars,BEV,2018,stock,350
Brazil,Historical,EV charging points,EV,Publicly available fast,2018,charging points,4.900000095367432
Brazil,Historical,EV charging points,EV,Publicly available slow,2018,charging points,450
Brazil,Historical,EV sales share,Cars,EV,2018,percent,0.014999999664723873
Brazil,Historical,EV stock share,Cars,EV,2018,percent,0.00279999990016222
Brazil,Historical,EV stock share,Cars,EV,2019,percent,0.007799999788403511
Brazil,Historical,EV sales share,Cars,EV,2019,percent,0.08399999886751175
Brazil,Historical,EV charging points,EV,Publicly available fast,2019,charging points,4.900000095367432
Brazil,Historical,EV charging points,EV,Publicly available slow,2019,charging points,450
Brazil,Historical,EV stock,Cars,BEV,2019,stock,890
Brazil,Historical,EV sales,Cars,PHEV,2019,sales,1400
Brazil,Historical,EV sales,Cars,BEV,2019,sales,540
Brazil,Historical,EV stock,Cars,PHEV,2019,stock,2100
Brazil,Historical,EV stock,Cars,PHEV,2020,stock,3800
Brazil,Historical,EV sales,Cars,BEV,2020,sales,680
Brazil,Historical,EV sales,Cars,PHEV,2020,sales,1800
Brazil,Historical,EV stock,Cars,BEV,2020,stock,1600
Brazil,Historical,EV charging points,EV,Publicly available fast,2020,charging points,4.900000095367432
Brazil,Historical,EV charging points,EV,Publicly available slow,2020,charging points,450
Brazil,Historical,EV sales share,Cars,EV,2020,percent,0.15000000596046448
Brazil,Historical,EV stock share,Cars,EV,2020,percent,0.014000000432133675
Brazil,Historical,EV stock share,Cars,EV,2021,percent,0.032999999821186066
Brazil,Historical,EV sales share,Cars,EV,2021,percent,0.4699999988079071
Brazil,Historical,EV charging points,EV,Publicly available fast,2021,charging points,4.900000095367432
Brazil,Historical,EV charging points,EV,Publicly available slow,2021,charging points,450
Brazil,Historical,EV stock,Cars,BEV,2021,stock,3600
Brazil,Historical,EV sales,Cars,PHEV,2021,sales,5200
Brazil,Historical,EV sales,Cars,BEV,2021,sales,2000
Brazil,Historical,EV stock,Cars,PHEV,2021,stock,9100
Canada,Historical,EV sales,Cars,BEV,2011,sales,220
Canada,Historical,EV stock,Cars,BEV,2011,stock,220
Canada,Historical,EV sales,Cars,PHEV,2011,sales,300
Canada,Historical,EV stock,Cars,PHEV,2011,stock,300
Canada,Historical,EV sales share,Cars,EV,2011,percent,0.04100000113248825
Canada,Historical,EV stock share,Cars,EV,2011,percent,0.0026000000070780516
Canada,Historical,EV stock share,Cars,EV,2012,percent,0.013000000268220901
Canada,Historical,EV sales share,Cars,EV,2012,percent,0.15000000596046448
Canada,Historical,EV stock,Cars,PHEV,2012,stock,1700
Canada,Historical,EV sales,Cars,PHEV,2012,sales,1400
Canada,Historical,EV stock,Cars,BEV,2012,stock,840
Canada,Historical,EV sales,Cars,BEV,2012,sales,620
Canada,Historical,EV charging points,EV,Publicly available fast,2012,charging points,2
Canada,Historical,EV charging points,EV,Publicly available slow,2012,charging points,720
Canada,Historical,EV charging points,EV,Publicly available fast,2013,charging points,7
Canada,Historical,EV charging points,EV,Publicly available slow,2013,charging points,1200
Canada,Historical,EV sales,Cars,BEV,2013,sales,1600
Canada,Historical,EV stock,Cars,BEV,2013,stock,2500
Canada,Historical,EV sales,Cars,PHEV,2013,sales,1500
Canada,Historical,EV stock,Cars,PHEV,2013,stock,3200
Canada,Historical,EV sales share,Cars,EV,2013,percent,0.2199999988079071
Canada,Historical,EV stock share,Cars,EV,2013,percent,0.02800000086426735
Canada,Historical,EV stock share,Cars,EV,2014,percent,0.052000001072883606
Canada,Historical,EV sales share,Cars,EV,2014,percent,0.3400000035762787
Canada,Historical,EV stock,Cars,PHEV,2014,stock,5400
Canada,Historical,EV sales,Cars,PHEV,2014,sales,2200
Canada,Historical,EV stock,Cars,BEV,2014,stock,5300
Canada,Historical,EV sales,Cars,BEV,2014,sales,2800
Canada,Historical,EV charging points,EV,Publicly available fast,2014,charging points,55
Canada,Historical,EV charging points,EV,Publicly available slow,2014,charging points,2300
Canada,Historical,EV charging points,EV,Publicly available fast,2015,charging points,63
Canada,Historical,EV charging points,EV,Publicly available slow,2015,charging points,3400
Canada,Historical,EV sales,Cars,BEV,2015,sales,4400
Canada,Historical,EV sales,Vans,BEV,2015,sales,1
Canada,Historical,EV stock,Vans,PHEV,2015,stock,5
Canada,Historical,EV stock,Cars,BEV,2015,stock,9700
Canada,Historical,EV sales,Cars,PHEV,2015,sales,2600
Canada,Historical,EV stock,Cars,PHEV,2015,stock,8000
Canada,Historical,EV sales,Vans,PHEV,2015,sales,5
Canada,Historical,EV sales share,Cars,EV,2015,percent,0.44999998807907104
Canada,Historical,EV stock share,Cars,EV,2015,percent,0.0860000029206276
Canada,Historical,EV sales share,Vans,EV,2015,percent,0.002099999925121665
Canada,Historical,EV stock share,Vans,EV,2015,percent,0.00016999999934341758
Canada,Historical,EV stock share,Vans,EV,2016,percent,0.00015999999595806003
Canada,Historical,EV stock share,Cars,EV,2016,percent,0.14000000059604645
Canada,Historical,EV sales share,Cars,EV,2016,percent,0.7300000190734863
Canada,Historical,EV sales share,Buses,EV,2016,percent,0.08100000023841858
Canada,Historical,EV stock,Cars,PHEV,2016,stock,14000
Canada,Historical,EV sales,Cars,PHEV,2016,sales,6400
Canada,Historical,EV stock,Cars,BEV,2016,stock,15000
Canada,Historical,EV stock,Vans,PHEV,2016,stock,5
Canada,Historical,EV sales,Cars,BEV,2016,sales,5200
Canada,Historical,EV charging points,EV,Publicly available fast,2016,charging points,140
Canada,Historical,EV charging points,EV,Publicly available slow,2016,charging points,3900
Canada,Historical,EV sales,Buses,BEV,2016,sales,5
Canada,Historical,EV sales,Buses,BEV,2017,sales,11
Canada,Historical,EV charging points,EV,Publicly available fast,2017,charging points,670
Canada,Historical,EV charging points,EV,Publicly available slow,2017,charging points,5200
